	SNP	Chromosome	Position	trait1
1	ENSG00000002079	7	98836416	8.31279069313544e-09
2	ENSG00000088340	20	34146506	0.0541458496731409
3	ENSG00000100181	22	17082776	0.652749408324528
4	ENSG00000105694	19	2538107	0.00620148590247771
5	ENSG00000135477	12	52644249	0.141538709531343
6	ENSG00000135747	1	247108848	0.101138997583079
7	ENSG00000146001	5	140613937	0.127468687648111
8	ENSG00000150526	14	39703119	0.990002272722293
9	ENSG00000151303	10	88752162	0.00318547725188251
10	ENSG00000154198	1	47308766	0.0983175534912741
11	ENSG00000154316	8	11197145	0.0237093235252838
12	ENSG00000159860	7	143333744	0.846892521591177
13	ENSG00000163612	4	9155021	0.263609014684777
14	ENSG00000167912	8	60031598	0.236172872579498
15	ENSG00000167945	16	855442	0.846179093892027
16	ENSG00000171101	19	51670584	0.00314876390800892
17	ENSG00000173862	7	33765592	0.0513783985953521
18	ENSG00000174403	20	61141549	0.0562714776494674
19	ENSG00000174680	21	31120493	0.653356664808603
20	ENSG00000175967	6	114225301	0.431509287143007
21	ENSG00000176716	11	7749631	0.0272756732811964
22	ENSG00000177133	1	2976178	0.000602709760640207
23	ENSG00000177197	13	48902219	0.515355573926066
24	ENSG00000177855	2	184472169	0.142640188655722
25	ENSG00000178162	2	131174327	0.545083433662993
26	ENSG00000178636	4	120113927	0.163694765886708
27	ENSG00000179066	19	35596872	0.0216246311944094
28	ENSG00000179157	6	43331216	0.348033633660738
29	ENSG00000179277	17	15689931	0.617669066152465
30	ENSG00000179935	20	18768294	0.356832798410823
31	ENSG00000179967	4	140036083	2.39443601996474e-07
32	ENSG00000180019	7	112086218	0.642761967470725
33	ENSG00000180066	10	134257830	6.74605410394655e-07
34	ENSG00000180229	15	20588367	0.399570920428392
35	ENSG00000180769	4	85887537	0.149270657575458
36	ENSG00000181355	6	9596522	0.00404028447648838
37	ENSG00000181819	23	104650317	0.882066352295545
38	ENSG00000182397	15	100330360	0.674499883247845
39	ENSG00000184139	4	132778497	0.994026277423522
40	ENSG00000184682	11	1910374	0.501637312783741
41	ENSG00000184774	1	202789393	0.000613076365213899
42	ENSG00000184795	11	67479172	0.847674563474549
43	ENSG00000186354	9	91605777	0.10575745570259
44	ENSG00000186369	14	62584196	0.432662457475826
45	ENSG00000186466	9	67272037	0.898206580586061
46	ENSG00000186842	21	33944547	0.338770778543527
47	ENSG00000187952	1	21754795	0.0864026586953102
48	ENSG00000188013	17	20492370	0.290721194302609
49	ENSG00000188662	17	48248788	0.0386181082895335
50	ENSG00000189212	7	35119600	0.142214728435561
51	ENSG00000196593	13	24513695	0.353675382753724
52	ENSG00000197083	5	150310206	0.11322143444352
53	ENSG00000197320	7	9765869	0.100501946340383
54	ENSG00000197376	12	48901136	0.771429928128091
55	ENSG00000197670	20	52169308	0.404909696918122
56	ENSG00000197882	11	86543581	0.796215291729522
57	ENSG00000198106	16	29262828	0.0233888435541696
58	ENSG00000198384	13	53063127	0.751234092803323
59	ENSG00000198416	9	39443803	0.00638847364349525
60	ENSG00000198555	16	33778505	0.0210142804201361
61	ENSG00000198857	1	120143962	0.0387811650837068
62	ENSG00000199332	6	31369928	0.388375367449882
63	ENSG00000199476	3	48330076	0.515392518437071
64	ENSG00000199691	20	37390170	0.509440093833657
65	ENSG00000199899	12	113594569	0.0918821793323868
66	ENSG00000200033	1	222010675	3.5295812207628e-06
67	ENSG00000200237	19	9930629	0.213808685064712
68	ENSG00000200253	10	88800994	0.558065833522243
69	ENSG00000200356	10	75038819	0.0116251029996152
70	ENSG00000200525	8	96067441	0.297385548541979
71	ENSG00000200550	2	42939879	0.176300140657103
72	ENSG00000200674	1	173760685	0.00916313337916927
73	ENSG00000201217	3	152167060	0.514840432090751
74	ENSG00000201724	15	100221990	0.596969275359655
75	ENSG00000202198	6	52860417	0.620664099063132
76	ENSG00000202533	5	131803838	0.4775474353572
77	ENSG00000203286	9	3452304	0.0732114988861538
78	ENSG00000203307	1	166050419	0.487524297712442
79	ENSG00000203414	10	13198683	0.171222186389108
80	ENSG00000203446	7	40577725	0.0146099588874216
81	ENSG00000203506	3	29657465	0.0193347742482991
82	ENSG00000203635	2	1624281	0.00869976618882331
83	ENSG00000203855	1	120106688	0.122649057332214
84	ENSG00000203886	10	104592477	0.00488772054350778
85	ENSG00000204118	23	72345875	0.0394513967836863
86	ENSG00000204136	9	124207268	0.000229477632399091
87	ENSG00000204187	10	44340753	0.693872671442437
88	ENSG00000204789	6	27325603	0.136877112758331
89	ENSG00000204790	9	69204537	0.329307469887468
90	ENSG00000204818	9	44170446	0.831825291752986
91	ENSG00000204837	9	41961614	0.669365502295625
92	ENSG00000205318	6	10633992	0.705591152865613
93	ENSG00000205361	16	56677616	0.69847179946412
94	ENSG00000205414	16	50639986	0.406614359439209
95	ENSG00000205562	14	85991476	0.000127573027437635
96	ENSG00000205879	8	12029710	0.120822445371104
97	ENSG00000206647	2	10295198	0.336377021706546
98	ENSG00000206728	3	23315297	0.00764825193036082
99	ENSG00000206878	1	228788182	0.000131121590115463
100	ENSG00000206965	2	175422693	0.0291377438215145
101	ENSG00000207146	23	107920180	0.431687849589864
102	ENSG00000207206	9	84340157	0.494669059833276
103	ENSG00000207770	3	114035321	0.938752206545816
104	ENSG00000209042	20	47895476	0.50682461977885
105	ENSG00000209082	M	3228	0.239799887975874
106	ENSG00000210049	M	574	0.0222196309642131
107	ENSG00000210194	M	14672	0.00035377790482302
108	ENSG00000210195	M	15886	0.759475058479141
109	ENSG00000211694	7	38339411	0.00377332436022025
110	ENSG00000211785	14	22309421	0.000405855112180245
111	ENSG00000211786	14	22314718	3.98965571502345e-06
112	ENSG00000211802	14	22538819	0.000102799229223609
113	ENSG00000211818	14	22771938	0.751604608522103
114	ENSG00000211898	14	106303098	4.78491376922813e-06
115	ENSG00000212206	17	8232900	0.172623986867216
116	ENSG00000212237	1	228783658	0.000112575831573296
117	ENSG00000212293	13	32994526	0.0296645320607856
118	ENSG00000213028	1	229824745	0.0599250003699931
119	ENSG00000213070	1	164326003	0.585703455273808
120	ENSG00000213071	6	160874459	0.745377272356716
121	ENSG00000213078	6	157787021	0.0199613217822552
122	ENSG00000213082	2	208546313	0.371352053490538
123	ENSG00000213225	2	130986948	0.174267199918053
124	ENSG00000213250	12	94817519	0.0785322209837807
125	ENSG00000213279	22	49965911	0.760310254832164
126	ENSG00000213352	12	63149006	0.00743024903844272
127	ENSG00000213370	4	174554878	0.0961080324355175
128	ENSG00000213373	17	41026686	2.806623139821e-08
129	ENSG00000213386	5	172189523	0.515849395639634
130	ENSG00000213435	6	42694971	0.103483249639688
131	ENSG00000213519	3	197307214	0.36437883297684
132	ENSG00000213561	1	78509066	0.109442220165259
133	ENSG00000213601	2	190175988	0.0291191248899101
134	ENSG00000213703	1	63106792	0.83011457644433
135	ENSG00000213750	8	98636430	0.763210230086142
136	ENSG00000213754	23	63524926	0.0520331716730417
137	ENSG00000213876	17	7044248	0.693133481506433
138	ENSG00000213938	2	200524273	0.706096255478563
139	ENSG00000213956	5	49928957	0.14579471929922
140	ENSG00000213985	19	20368528	0.371974217750855
141	ENSG00000213997	23	46506028	0.0497570057682192
142	ENSG00000214039	12	130517998	0.918208508886948
143	ENSG00000214073	3	1947334	0.341919614181775
144	ENSG00000214093	22	31955468	0.198284585565133
145	ENSG00000214100	2	130680434	0.862754327132996
146	ENSG00000214121	9	12972841	0.176782851565419
147	ENSG00000214264	11	112051495	0.964059833760102
148	ENSG00000214273	4	190962496	0.0478501712454215
149	ENSG00000214280	3	139301769	0.776500119374175
150	ENSG00000214289	3	134070693	0.574863908313106
151	ENSG00000214533	2	65893828	0.896956701190163
152	ENSG00000214553	17	37183529	0.579346313595871
153	ENSG00000214612	20	18485276	0.363852889351125
154	ENSG00000214796	1	202820955	0.00696187930918325
155	ENSG00000214826	12	9570308	0.331209656383504
156	ENSG00000214919	3	155459932	0.805412648985836
157	ENSG00000214955	21	35577355	0.650623358394707
158	ENSG00000214961	23	133406316	0.0727966995414583
159	ENSG00000215105	23	74960540	0.633404218370387
160	ENSG00000215237	9	14993309	0.431719454436677
161	ENSG00000215267	10	5317135	0.0971545300114541
162	ENSG00000215333	22	44962844	0.578347800783941
163	ENSG00000215374	8	7159132	0.530096617332577
164	ENSG00000215386	21	17442841	0.0143992803154614
165	ENSG00000215452	20	45042866	0.055256648095988
166	ENSG00000215493	22	20804408	0.23796511961947
167	ENSG00000215559	21	15281894	0.256877914760762
168	ENSG00000215630	5	70498110	0.134271532707904
169	ENSG00000215861	1	144676873	0.185788592036654
170	ENSG00000215878	6	138723721	0.0768797312934987
171	ENSG00000215914	1	1631368	0.795686131977599
172	ENSG00000216306	12	95227922	0.911196990718362
173	ENSG00000216624	6	166477778	0.341859445901369
174	ENSG00000216901	6	28143965	0.336798166239973
175	ENSG00000216915	6	27704778	0.149064916340597
176	ENSG00000217159	6	26164299	0.134231406755985
177	ENSG00000217643	2	26045337	0.00434067514449877
178	ENSG00000217646	6	27831839	0.954998598654731
179	ENSG00000217824	6	148888513	0.0219671933114225
180	ENSG00000217862	6	27774852	0.903306137810476
181	ENSG00000218014	6	72294423	0.691398719117381
182	ENSG00000218281	6	26233349	0.165418091536965
183	ENSG00000218358	6	150319154	0.00735341981506579
184	ENSG00000218502	13	99867625	0.796261575069725
185	ENSG00000218582	6	80662721	0.120196052512735
186	ENSG00000218586	7	55001391	0.0370197364202007
187	ENSG00000219565	6	109103328	0.528057914856754
188	ENSG00000219642	6	129478667	0.0662231303692548
189	ENSG00000219682	6	25140211	0.346600424564094
190	ENSG00000219693	9	66544358	0.819863775235062
191	ENSG00000219930	23	135160002	0.0228267294614644
192	ENSG00000220154	6	79987821	0.0517699815919397
193	ENSG00000220563	6	86369609	0.0898478896982159
194	ENSG00000220695	6	100978151	0.512869729646709
195	ENSG00000220771	6	21602358	0.855044474293278
196	ENSG00000220924	4	113606210	0.00570839768480714
197	ENSG00000221299	23	134029783	0.945923077389419
198	ENSG00000221340	1	12629999	0.216458561891469
199	ENSG00000222022	2	238330062	1.94833569265208e-07
200	ENSG00000222032	2	238337562	5.00656411552997e-05
201	ENSG00000222057	3	121374321	0.50647875386155
202	ENSG00000222881	17	38547483	0.0271571573602387
203	ENSG00000223249	2	190618189	0.331896559884106
204	ENSG00000223254	1	85729978	0.538219477795714
205	ENSG00000223318	2	165752186	0.0887297001906912
206	ENSG00000223382	1	31297074	0.0672643125314824
207	ENSG00000223414	6	166322289	0.0232612300814213
208	ENSG00000223460	13	29880914	0.0145881932337839
209	ENSG00000223518	15	37090796	0.307066679776176
210	ENSG00000223537	6	109809108	0.000332748487916858
211	ENSG00000223576	13	20415966	0.866373966594701
212	ENSG00000223656	1	100163797	0.968102195366878
213	ENSG00000223723	23	36980268	0.543071448800302
